n-gram,count
"('в',)",2266
"('и',)",2013
"('не',)",1002
"('на',)",798
"('с',)",752
"('а',)",612
"('к',)",498
"('по',)",453
"('о',)",370
"('слова',)",327
"('что',)",314
"('как',)",303
"('н',)",294
"('от',)",291
"('из',)",282
"('или',)",254
"('речи',)",231
"('слов',)",203
"('их',)",195
"('р',)",193
