n-gram,count
"('экзюпери', 'маленький', 'принц')",43
"('антуан', 'экзюпери', 'маленький')",42
"('сказал', 'маленький', 'принц')",26
"('маленький', 'принц', 'и')",20
"('спросил', 'маленький', 'принц')",17
"('и', 'маленький', 'принц')",10
"('подумал', 'маленький', 'принц')",8
"('добрый', 'день', 'сказал')",7
"('маленький', 'принц', 'но')",6
"('маленький', 'принц', 'не')",6
"('маленький', 'принц', 'а')",6
"('повторил', 'маленький', 'принц')",5
"('промолвил', 'маленький', 'принц')",5
"('маленький', 'принц', 'антуан')",4
"('но', 'не', 'ответил')",4
"('но', 'маленький', 'принц')",4
"('планете', 'маленького', 'принца')",4
"('пока', 'не', 'получал')",4
"('не', 'так', 'уж')",4
"('день', 'сказал', 'маленький')",4
