n-gram,count
"('антуан', 'экзюпери', 'маленький', 'принц', 'антуан', 'де')",2
"('антуан', 'экзюпери', 'маленький', 'принц', 'и', 'опять')",2
"('те', 'кто', 'понимает', 'что', 'такое', 'жизнь')",2
"('маленький', 'принц', 'антуан', 'экзюпери', 'маленький', 'принц')",2
"('миллион', 'шестьсот', 'двадцать', 'две', 'тысячи', 'семьсот')",2
"('шестьсот', 'двадцать', 'две', 'тысячи', 'семьсот', 'тридцать')",2
"('не', 'успокаивался', 'пока', 'не', 'получал', 'ответа')",2
"('добрый', 'день', 'сказал', 'маленький', 'принц', 'добрый')",2
"('день', 'сказал', 'маленький', 'принц', 'добрый', 'день')",2
"('самое', 'главное', 'то', 'чего', 'не', 'увидишь')",2
"('экзюпери', 'маленький', 'принц', 'антуан', 'де', 'сент')",1
"('маленький', 'принц', 'антуан', 'де', 'сент', 'экзюпери')",1
"('принц', 'антуан', 'де', 'сент', 'экзюпери', 'маленький')",1
"('антуан', 'де', 'сент', 'экзюпери', 'маленький', 'принц')",1
"('де', 'сент', 'экзюпери', 'маленький', 'принц', 'справочная')",1
"('сент', 'экзюпери', 'маленький', 'принц', 'справочная', 'служба')",1
"('экзюпери', 'маленький', 'принц', 'справочная', 'служба', 'русского')",1
"('маленький', 'принц', 'справочная', 'служба', 'русского', 'языка')",1
"('принц', 'справочная', 'служба', 'русского', 'языка', 'маленький')",1
"('справочная', 'служба', 'русского', 'языка', 'маленький', 'принц')",1
