n-gram,count
"('антуан', 'экзюпери', 'маленький', 'принц')",42
"('экзюпери', 'маленький', 'принц', 'и')",7
"('добрый', 'день', 'сказал', 'маленький')",4
"('день', 'сказал', 'маленький', 'принц')",4
"('маленький', 'принц', 'и', 'опять')",3
"('экзюпери', 'маленький', 'принц', 'но')",3
"('мало', 'ли', 'что', 'может')",3
"('пока', 'не', 'получал', 'ответа')",3
"('сказал', 'маленький', 'принц', 'и')",3
"('подумал', 'маленький', 'принц', 'и')",3
"('а', 'как', 'это', 'приручить')",3
"('повторил', 'маленький', 'принц', 'чтобы')",3
"('маленький', 'принц', 'чтобы', 'лучше')",3
"('то', 'чего', 'не', 'увидишь')",3
"('экзюпери', 'маленький', 'принц', 'антуан')",2
"('маленький', 'принц', 'антуан', 'де')",2
"('когда', 'было', 'шесть', 'лет')",2
"('уж', 'такой', 'народ', 'эти')",2
"('такой', 'народ', 'эти', 'взрослые')",2
"('те', 'кто', 'понимает', 'что')",2
