n-gram,count
"('антуан', 'экзюпери', 'маленький', 'принц', 'и')",7
"('добрый', 'день', 'сказал', 'маленький', 'принц')",4
"('антуан', 'экзюпери', 'маленький', 'принц', 'но')",3
"('повторил', 'маленький', 'принц', 'чтобы', 'лучше')",3
"('антуан', 'экзюпери', 'маленький', 'принц', 'антуан')",2
"('экзюпери', 'маленький', 'принц', 'антуан', 'де')",2
"('экзюпери', 'маленький', 'принц', 'и', 'опять')",2
"('уж', 'такой', 'народ', 'эти', 'взрослые')",2
"('те', 'кто', 'понимает', 'что', 'такое')",2
"('кто', 'понимает', 'что', 'такое', 'жизнь')",2
"('не', 'отступался', 'пока', 'не', 'получал')",2
"('антуан', 'экзюпери', 'маленький', 'принц', 'да')",2
"('антуан', 'экзюпери', 'маленький', 'принц', 'а')",2
"('маленький', 'принц', 'а', 'вот', 'и')",2
"('маленький', 'принц', 'антуан', 'экзюпери', 'маленький')",2
"('принц', 'антуан', 'экзюпери', 'маленький', 'принц')",2
"('сказал', 'маленький', 'принц', 'продолжая', 'путь')",2
"('и', 'маленький', 'принц', 'отправился', 'дальше')",2
"('миллион', 'шестьсот', 'двадцать', 'две', 'тысячи')",2
"('шестьсот', 'двадцать', 'две', 'тысячи', 'семьсот')",2
