n-gram,count
глаз необыкновенный портрет,3
пятнадцатый линия васильевский,2
линия васильевский остров,2
портрет открыть весь,2
сердце биться сильно,2
неужели это сон,2
семь год жить,2
виват андрей петрович,2
мсьё ноль ах,2
точно талант сказать,2
весь это казаться,2
старухи которые молиться,2
страшный бросить кисть,2
высокий создание искусство,2
нигде останавливаться столько,1
останавливаться столько народ,1
столько народ картинною,1
народ картинною лавочкою,1
картинною лавочкою щукином,1
лавочкою щукином двор,1
