n-gram,count
нигде останавливалось столько народа картинною лавочкою,1
останавливалось столько народа картинною лавочкою щукином,1
столько народа картинною лавочкою щукином дворе,1
народа картинною лавочкою щукином дворе эта,1
картинною лавочкою щукином дворе эта лавочка,1
лавочкою щукином дворе эта лавочка представляла,1
щукином дворе эта лавочка представляла точно,1
дворе эта лавочка представляла точно самое,1
эта лавочка представляла точно самое разнородное,1
лавочка представляла точно самое разнородное собрание,1
представляла точно самое разнородное собрание диковинок,1
точно самое разнородное собрание диковинок картины,1
самое разнородное собрание диковинок картины большею,1
разнородное собрание диковинок картины большею частью,1
собрание диковинок картины большею частью писаны,1
диковинок картины большею частью писаны масляными,1
картины большею частью писаны масляными красками,1
большею частью писаны масляными красками покрыты,1
частью писаны масляными красками покрыты лаком,1
писаны масляными красками покрыты лаком мишурных,1
