n-gram,count
"('нигде', 'не', 'останавливалось', 'столько', 'народа', 'как', 'перед', 'картинною', 'лавочкою', 'на', 'щукином', 'дворе', 'эта', 'лавочка', 'представляла', 'точно', 'самое', 'разнородное', 'собрание', 'диковинок')",1
"('не', 'останавливалось', 'столько', 'народа', 'как', 'перед', 'картинною', 'лавочкою', 'на', 'щукином', 'дворе', 'эта', 'лавочка', 'представляла', 'точно', 'самое', 'разнородное', 'собрание', 'диковинок', 'картины')",1
"('останавливалось', 'столько', 'народа', 'как', 'перед', 'картинною', 'лавочкою', 'на', 'щукином', 'дворе', 'эта', 'лавочка', 'представляла', 'точно', 'самое', 'разнородное', 'собрание', 'диковинок', 'картины', 'большею')",1
"('столько', 'народа', 'как', 'перед', 'картинною', 'лавочкою', 'на', 'щукином', 'дворе', 'эта', 'лавочка', 'представляла', 'точно', 'самое', 'разнородное', 'собрание', 'диковинок', 'картины', 'большею', 'частью')",1
"('народа', 'как', 'перед', 'картинною', 'лавочкою', 'на', 'щукином', 'дворе', 'эта', 'лавочка', 'представляла', 'точно', 'самое', 'разнородное', 'собрание', 'диковинок', 'картины', 'большею', 'частью', 'были')",1
"('как', 'перед', 'картинною', 'лавочкою', 'на', 'щукином', 'дворе', 'эта', 'лавочка', 'представляла', 'точно', 'самое', 'разнородное', 'собрание', 'диковинок', 'картины', 'большею', 'частью', 'были', 'писаны')",1
"('перед', 'картинною', 'лавочкою', 'на', 'щукином', 'дворе', 'эта', 'лавочка', 'представляла', 'точно', 'самое', 'разнородное', 'собрание', 'диковинок', 'картины', 'большею', 'частью', 'были', 'писаны', 'масляными')",1
"('картинною', 'лавочкою', 'на', 'щукином', 'дворе', 'эта', 'лавочка', 'представляла', 'точно', 'самое', 'разнородное', 'собрание', 'диковинок', 'картины', 'большею', 'частью', 'были', 'писаны', 'масляными', 'красками')",1
"('лавочкою', 'на', 'щукином', 'дворе', 'эта', 'лавочка', 'представляла', 'точно', 'самое', 'разнородное', 'собрание', 'диковинок', 'картины', 'большею', 'частью', 'были', 'писаны', 'масляными', 'красками', 'покрыты')",1
"('на', 'щукином', 'дворе', 'эта', 'лавочка', 'представляла', 'точно', 'самое', 'разнородное', 'собрание', 'диковинок', 'картины', 'большею', 'частью', 'были', 'писаны', 'масляными', 'красками', 'покрыты', 'лаком')",1
"('щукином', 'дворе', 'эта', 'лавочка', 'представляла', 'точно', 'самое', 'разнородное', 'собрание', 'диковинок', 'картины', 'большею', 'частью', 'были', 'писаны', 'масляными', 'красками', 'покрыты', 'лаком', 'в')",1
"('дворе', 'эта', 'лавочка', 'представляла', 'точно', 'самое', 'разнородное', 'собрание', 'диковинок', 'картины', 'большею', 'частью', 'были', 'писаны', 'масляными', 'красками', 'покрыты', 'лаком', 'в', 'мишурных')",1
"('эта', 'лавочка', 'представляла', 'точно', 'самое', 'разнородное', 'собрание', 'диковинок', 'картины', 'большею', 'частью', 'были', 'писаны', 'масляными', 'красками', 'покрыты', 'лаком', 'в', 'мишурных', 'рамах')",1
"('лавочка', 'представляла', 'точно', 'самое', 'разнородное', 'собрание', 'диковинок', 'картины', 'большею', 'частью', 'были', 'писаны', 'масляными', 'красками', 'покрыты', 'лаком', 'в', 'мишурных', 'рамах', 'зима')",1
"('представляла', 'точно', 'самое', 'разнородное', 'собрание', 'диковинок', 'картины', 'большею', 'частью', 'были', 'писаны', 'масляными', 'красками', 'покрыты', 'лаком', 'в', 'мишурных', 'рамах', 'зима', 'с')",1
"('точно', 'самое', 'разнородное', 'собрание', 'диковинок', 'картины', 'большею', 'частью', 'были', 'писаны', 'масляными', 'красками', 'покрыты', 'лаком', 'в', 'мишурных', 'рамах', 'зима', 'с', 'белыми')",1
"('самое', 'разнородное', 'собрание', 'диковинок', 'картины', 'большею', 'частью', 'были', 'писаны', 'масляными', 'красками', 'покрыты', 'лаком', 'в', 'мишурных', 'рамах', 'зима', 'с', 'белыми', 'деревьями')",1
"('разнородное', 'собрание', 'диковинок', 'картины', 'большею', 'частью', 'были', 'писаны', 'масляными', 'красками', 'покрыты', 'лаком', 'в', 'мишурных', 'рамах', 'зима', 'с', 'белыми', 'деревьями', 'совершенно')",1
"('собрание', 'диковинок', 'картины', 'большею', 'частью', 'были', 'писаны', 'масляными', 'красками', 'покрыты', 'лаком', 'в', 'мишурных', 'рамах', 'зима', 'с', 'белыми', 'деревьями', 'совершенно', 'красный')",1
"('диковинок', 'картины', 'большею', 'частью', 'были', 'писаны', 'масляными', 'красками', 'покрыты', 'лаком', 'в', 'мишурных', 'рамах', 'зима', 'с', 'белыми', 'деревьями', 'совершенно', 'красный', 'вечер')",1
